Month,Xposition,YPosition
361,0,-22 
361,-130,-17 
361,17,7 
361,84,-125 
361,56,152 
361,78,110 
361,-71,65 
361,59,-37 
361,94,64 
361,-77,1 
361,-67,-13 
361,67,68 
361,31,-47 
361,86,-57 
361,108,173 
361,59,55 
361,21,35 
361,-15,0 
361,169,29 
361,-34,-24 
361,-95,-156 
361,9,28 
361,-43,-6 
361,16,9 
361,79,43 
361,-16,195 
361,33,191 
361,-2,8 
361,65,125 
361,-71,101 
361,-80,25 
361,-83,67 
361,-126,-96 
361,-71,-1 
361,-10,-176 
361,-21,-11 
361,-138,-50 
361,-37,8 
361,15,43 
361,53,9 
361,38,-110 
361,18,-38 
361,4,1 
361,-121,-3 
361,-73,-21 
361,-19,182 
361,-98,2 
361,-48,116 
361,-54,-212 
361,4,-9 
361,27,4 
361,24,-163 
361,-55,16 
361,-3,112 
361,60,5 
361,5,73 
361,-99,83 
361,78,1 
361,39,-59 
361,-34,8 
361,-99,20 
1,-14,-30 
1,36,110 
1,112,-44 
1,0,-22 
1,-126,178 
1,35,-28 
1,-180,-124 
1,-25,-23 
1,-61,-9 
1,10,-151 
1,1,55 
1,24,-163 
1,48,-53 
1,-44,-74 
1,81,-83 
1,-33,105 
1,25,-127 
1,30,-19 
1,23,218 
1,-71,101 
1,-29,21 
1,10,-48 
1,-34,-24 
1,-79,-111 
1,-9,39 
1,24,1 
1,18,3 
1,35,14 
1,-54,-212 
1,-73,-21 
1,-9,137 
1,-23,-5 
1,23,-90 
1,36,38 
1,12,-53 
1,17,-79 
1,0,1 
1,-138,-50 
1,-12,44 
